BV号,出现时间,弹幕类型,字的大小,颜色,上传时间,uid,弹幕内容
BV1i34112729,3.86800,1,25,0xFFFFFF,2021-9-22,d8419096,中秋节快乐
BV1i34112729,52.43400,1,25,0xFFFFFF,2021-9-22,b5d58e5c,中秋节快乐
BV1i34112729,65.80600,1,25,0xFFFFFF,2021-9-22,93b582c8,中秋节快乐
BV1i34112729,86.76100,1,25,0xFFFFFF,2021-9-22,acb3cd46,中秋快乐
BV1i34112729,101.07500,1,25,0xFFFFFF,2021-9-21,7d88fedd,中秋节快乐
BV1i34112729,23.41900,1,25,0xFFFFFF,2021-9-21,1800ec30,中秋节快乐
BV1i34112729,7.41900,1,25,0xFFFFFF,2021-9-21,4b10ba80,中秋节快乐
BV1i34112729,60.93900,1,25,0xFFFFFF,2021-9-21,f7fb6565,中秋节快乐
BV1i34112729,60.37600,1,25,0xFFFFFF,2021-9-21,eab2ede,中秋节快乐
BV1i34112729,55.15000,1,25,0xFFFFFF,2021-9-21,ca8e75f9,中秋节快乐
BV1i34112729,7.38200,1,25,0xFFFFFF,2021-9-21,fea72a53,中秋节快乐
BV1i34112729,74.86300,1,25,0xFFFFFF,2021-9-21,904eaba1,中秋节不快乐
BV1i34112729,31.73900,1,25,0xFFFFFF,2021-9-21,6998d254,中秋节快乐
BV1i34112729,90.21900,1,25,0xFFFFFF,2021-9-21,b92c08b,中秋节快乐
BV1i34112729,42.10700,1,25,0xFFFFFF,2021-9-21,c8845696,中秋节快乐
BV1i34112729,135.25900,1,25,0xFFFFFF,2021-9-21,f43b505e,中秋快乐
BV1i34112729,89.26600,1,25,0xFFFFFF,2021-9-21,14c2927a,中秋节快乐
BV1i34112729,59.99000,1,25,0xFFFFFF,2021-9-21,83cfaf5f,总数
BV1i34112729,30.10000,1,25,0xFFFFFF,2021-10-8,2be0b57c,中秋快乐
BV1i34112729,39.95100,1,25,0xFFFFFF,2021-10-7,6acf3a9f,中秋节快乐
BV1i34112729,65.68900,1,25,0xFFFFFF,2021-10-1,1e2e6797,awsl
BV1i34112729,26.74600,1,25,0xFFFFFF,2021-10-1,7fb6948,中秋节快乐
BV1i34112729,13.50500,1,25,0xFFFFFF,2021-9-24,c1e33360,中秋快乐
BV1i34112729,49.79900,1,25,0xFFFFFF,2021-9-24,ff0da08b,哈哈哈哈哈哈哈
BV1i34112729,38.65300,1,25,0xFFFFFF,2021-9-24,496175a9,哈哈哈哈哈哈哈哈哈哈哈哈
BV1i34112729,20.06700,1,25,0xFFFFFF,2021-9-24,9e77a149,中秋快乐
BV1i34112729,77.93700,1,25,0xFFFFFF,2021-9-24,688dcc89,哈哈哈哈哈哈哈哈哈哈哈
BV1i34112729,83.12600,1,25,0xFFFFFF,2021-9-24,ec97405e,月亮姐姐
BV1i34112729,35.97800,1,25,0xFFFFFF,2021-9-23,8e5c5b62,中秋节快乐~
BV1i34112729,100.82600,1,25,0xFFFFFF,2021-9-22,87b8cb68,月亮姐姐yyds
BV1i34112729,80.53900,1,25,0xFFFFFF,2021-9-22,3e8cd84f,中秋快乐
BV1i34112729,32.40700,1,25,0xFFFFFF,2021-9-22,5c62513f,中秋快乐
BV1i34112729,3.48800,1,25,0xFFFFFF,2021-9-22,848cfc22,中秋节快乐
BV1i34112729,6.81900,1,25,0xFFFFFF,2021-9-22,24d01dc,中秋节快乐
BV1i34112729,96.33900,1,25,0xFFFFFF,2021-9-22,e84d2661,中秋节快乐
BV1i34112729,63.83400,1,25,0xFFFFFF,2021-9-22,28d38606,中秋
BV1i34112729,91.54400,1,25,0xFFFFFF,2021-9-22,1dbdc8da,哈哈哈哈哈哈哈哈哈哈哈
BV1i34112729,49.71900,1,25,0xFFFFFF,2021-9-22,55b52669,中秋节快乐
BV1i34112729,27.22000,1,25,0xFFFFFF,2021-9-22,a1817074,中秋节快乐
BV1i34112729,45.15400,1,25,0xFFFFFF,2021-9-22,156dfe0,哈哈哈哈哈哈哈
BV1i34112729,29.84400,1,25,0xFFFFFF,2021-9-22,603aca19,中秋节快乐
BV1i34112729,28.29900,1,25,0xFFFFFF,2021-9-22,16039c2a,中秋节快乐
BV1i34112729,17.90000,1,25,0xFFFFFF,2021-9-21,4b485c4a,中秋节快乐
BV1i34112729,46.81900,1,25,0xFFFFFF,2021-9-21,167b6b75,中秋节快乐
BV1i34112729,4.61900,1,25,0xFFFFFF,2021-9-21,4faedf96,哇哦，冰！
BV1i34112729,115.42000,1,25,0xFFFFFF,2021-9-21,556459fb,冰冰呜呜呜
BV1i34112729,55.39400,1,25,0xFFFFFF,2021-9-21,32887ae3,中秋节快乐
BV1i34112729,40.53900,1,25,0xFFFFFF,2021-9-21,624ff1c9,中秋节快乐
BV1i34112729,40.93500,1,25,0xFFFFFF,2021-9-21,b5d58e5c,中秋节快乐
BV1i34112729,50.65300,1,25,0xFFFFFF,2021-9-21,6a502444,中秋节快乐
BV1i34112729,6.20300,1,25,0xFFFFFF,2021-9-21,4efebe65,中秋节快乐
BV1i34112729,50.26500,1,25,0xFFFFFF,2021-9-21,673d0104,中秋节快乐
BV1i34112729,135.86400,1,25,0xFFFFFF,2021-9-21,7954fd46,中秋节快乐！
BV1i34112729,41.00300,1,25,0xFFFFFF,2021-9-21,e0f91d96,中秋节快乐
BV1i34112729,24.79500,1,25,0xFFFFFF,2021-9-21,f861cc1b,中秋节快乐
BV1i34112729,20.39900,1,25,0xFFFFFF,2021-9-21,6235015d,中秋节快乐
BV1i34112729,32.21200,1,25,0xFFFFFF,2021-10-1,af82f9d3,中秋快乐
BV1i34112729,86.09200,1,25,0xFFFFFF,2021-9-30,a83a366a,中秋节快乐
BV1i34112729,40.92100,1,25,0xFFFFFF,2021-9-30,2cab3d67,啊啊啊，冰冰
BV1i34112729,34.36200,1,25,0xFFFFFF,2021-9-25,99046322,中秋快乐
BV1i34112729,26.51600,1,25,0xFFFFFF,2021-9-24,c19d84e1,月亮姐姐！
BV1i34112729,78.73900,1,25,0xFFFFFF,2021-9-24,d85c115f,月亮姐姐
BV1i34112729,8.85100,1,25,0xFFFFFF,2021-9-24,a504e645,中秋快乐
BV1i34112729,41.69900,1,25,0xFFFFFF,2021-9-24,2b71786f,啊啊啊啊啊啊冰冰
BV1i34112729,75.88700,1,25,0xFFFFFF,2021-9-22,19d23918,过年好
BV1i34112729,9.99900,1,25,0xFFFFFF,2021-9-22,cbf0a946,冰冰还记得我
BV1i34112729,51.06700,1,25,0xFFFFFF,2021-9-22,f5a39686,冰冰
BV1i34112729,4.81000,1,25,0xFFFFFF,2021-9-22,fcf859d2,中秋节快乐
BV1i34112729,53.89700,1,25,0xFFFFFF,2021-9-22,12bbfd71,哈哈哈哈哈哈哈
BV1i34112729,5.81900,1,25,0xFFFFFF,2021-9-22,ab723473,中秋节快乐
BV1i34112729,47.35000,1,25,0xE70012,2021-9-22,6f2260c2,妙啊
BV1i34112729,7.41900,1,25,0xFFFFFF,2021-9-22,98f0ee4e,中秋节快乐
BV1i34112729,37.05400,1,25,0xFFFFFF,2021-9-22,528bd8a5,冰冰！！！
BV1i34112729,24.06900,1,25,0xFFFFFF,2021-9-21,a6c3ba05,中秋节快乐
BV1i34112729,53.72300,1,25,0xFFFFFF,2021-9-21,92ce1a63,中秋节快乐
BV1i34112729,6.09900,1,25,0xFFFFFF,2021-9-21,4742017c,中秋节快乐
BV1i34112729,33.59900,1,25,0xFFFFFF,2021-9-21,c0390111,中秋节快乐！
BV1i34112729,45.89900,1,25,0xFFFFFF,2021-9-21,51f566a0,中秋
BV1i34112729,30.26500,1,25,0xFFFFFF,2021-9-21,4d126ff3,中秋节快乐
BV1i34112729,96.62300,1,25,0xFFFFFF,2021-9-21,6fdbf9d3,中秋快乐
BV1i34112729,7.14200,1,25,0xFFFFFF,2021-9-21,5f7196de,中秋节快乐
BV1i34112729,6.97900,1,25,0xFFFFFF,2021-9-21,6aa48e89,中秋节快乐
BV1i34112729,94.54500,1,25,0xFFFFFF,2021-9-21,1d2a05b4,中秋节快乐！
BV1i34112729,37.41500,1,25,0xFFFFFF,2021-9-21,a52306de,李师师了
BV1i34112729,37.32600,1,25,0xFFFFFF,2021-9-21,d8d52272,来了来了
BV1i34112729,51.79900,1,25,0xFFFFFF,2021-9-21,be301bdc,卡哇伊ฅฅ*
BV1i34112729,23.81900,1,25,0xFFFFFF,2021-9-21,6998d254,中秋节快乐
BV1i34112729,0.31700,1,25,0xFFFFFF,2021-9-21,7c7c3ed2,中秋节快乐
